risk,1.2,1.5,1.7,2.1,2.2,2.3,2.4,3.1,3.2,3.3,3.5,3.6,4.1,4.3,4.4,4.5,X.research-interp,X.research-theory,X.research-empirical,X.forecasting,X.advocacy-comms,X.talent-community,X.none
1.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,50000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,170000.0,0.0,0.0,0.0,365000.0
2.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,55000.0,0.0,0.0,0.0,0.0,0.0,0.0
2.2,4275505.1,0.0,0.0,15776024.33,0.0,530463.0,0.0,1109997.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,11268400.0,500.0,474211.0,1784291.0,0.0,0.0,8894389.9,0.0
3.1,0.0,0.0,0.0,0.0,0.0,0.0,500.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6116133.0,0.0,0.0,0.0,0.0
3.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,195000.0,0.0,0.0
4.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,223000.0,0.0,0.0,0.0,0.0,446762.0,395600.0,0.0,0.0,0.0
4.2,7158834.155,1174741.1587000003,0.0,0.0,0.0,150000.16,0.0,1515615.75,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1505615.75,3780379.8963,0.0,10666160.4,0.0
4.3,0.0,0.0,0.0,0.0,0.0,500.0,0.0,622000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4500.0,0.0,0.0
5.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,80000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1061000.0,0.0,115887.0
5.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100000.0,0.0,0.0
6.1,265981.0,0.0,157565.0,0.0,0.0,500000.0,0.0,0.0,1661750.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,455570.0,1680975.0,0.0,688000.0
6.2,3455121.055,1174741.1587000003,45000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,15745.0,7248626.8963,551000.0,0.0,0.0
6.3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,305000.0,0.0,0.0
6.4,12701372.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,269340.0,4006556.0,0.0,0.0
6.5,109391900.49,4660759.7926,79000.0,312500.0,0.0,0.0,0.0,5771250.0,0.0,1300.0,0.0,40000.0,0.0,0.0,371000.0,0.0,0.0,32000.0,618883.5200000001,9034317.8374,18179203.0,25438636.73,3544562.5
7.1,10030.0,14626400.0,0.0,0.0,1068931.0,310000.0,0.0,18474937.28,5000.0,0.0,331221.0,0.0,0.0,0.0,0.0,0.0,3707750.0,7257245.33,38656092.83,32358.0,0.0,43472117.64,103000.0
7.2,156250.0,0.0,0.0,78125.0,0.0,2315190.0,0.0,57384535.9732,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,30000.0,0.0,1313042.0600000003,4298080.0967999995,0.0,4332760.209999999,0.0
7.3,3439047.1,0.0,0.0,0.0,482350.0,0.0,0.0,2562269.5300000003,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,11217993.0,5330025.0600000005,0.0,0.0,3942697.7099999995,0.0
7.4,0.0,0.0,0.0,0.0,0.0,477025.0,0.0,25000.0,0.0,0.0,0.0,0.0,9699.05,0.0,0.0,0.0,18995236.5,60000.0,6580559.0,0.0,133000.0,135025.0,0.0
7.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,12000.0,0.0,0.0,0.0,42539.0,0.0
7.6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,22000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3997497.0,1609974.77,0.0,0.0,2530.0,0.0
field,156250.0,0.0,0.0,78125.0,0.0,0.0,0.0,7286267.306799999,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7885395.419999999,7250059.8632000005,6074930.0,147264231.364,0.0
cross,3819933.0,0.0,105000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,400207.0,0.0,0.0,0.0,0.0,0.0,0.0,1727000.0,11096792.0,9302597.0,8391583.0,0.0,12803042.0
not_ai,18562.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,312541.76000000007,0.0,468050.0,8912601.790000001,4005530.5
unknown,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,19250.0,2250023.0
