risk,1.2,1.5,1.7,2.1,2.2,2.3,2.4,3.1,3.2,3.3,3.5,3.6,4.1,4.3,4.4,4.5,X.research-interp,X.research-theory,X.research-empirical,X.forecasting,X.advocacy-comms,X.talent-community,X.none
1.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,50000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,170000.0,0.0,0.0,0.0,365000.0
2.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,55000.0,0.0,0.0,0.0,0.0,0.0,0.0
2.2,523958.0,0.0,0.0,15619774.33,0.0,530463.0,0.0,1031872.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,11268400.0,500.0,474211.0,1784291.0,0.0,0.0,2265362.0,0.0
3.1,0.0,0.0,0.0,0.0,0.0,0.0,500.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6116133.0,0.0,0.0,0.0,0.0
3.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,195000.0,0.0,0.0
4.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,223000.0,0.0,0.0,0.0,0.0,446762.0,395600.0,0.0,0.0,0.0
4.2,264666.0,0.0,0.0,0.0,0.0,150000.16,0.0,10000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1500000.0,0.0,406283.0,0.0
4.3,0.0,0.0,0.0,0.0,0.0,500.0,0.0,622000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4500.0,0.0,0.0
5.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,80000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1061000.0,0.0,115887.0
5.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100000.0,0.0,0.0
6.1,265981.0,0.0,157565.0,0.0,0.0,500000.0,0.0,0.0,1661750.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,455570.0,1680975.0,0.0,688000.0
6.2,0.0,0.0,45000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,15745.0,4968247.0,551000.0,0.0,0.0
6.3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,305000.0,0.0,0.0
6.4,9262325.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,269340.0,4006556.0,0.0,0.0
6.5,149309772.0,100000.0,79000.0,0.0,0.0,0.0,0.0,5615000.0,0.0,1300.0,0.0,40000.0,0.0,0.0,371000.0,0.0,0.0,32000.0,0.0,181078.24,18179203.0,1760161.0,3526000.0
7.1,10030.0,0.0,0.0,0.0,1068931.0,310000.0,0.0,5436279.0,5000.0,0.0,331221.0,0.0,0.0,0.0,0.0,0.0,8500.0,7257245.33,57302058.5,32358.0,0.0,111700.0,103000.0
7.2,0.0,0.0,0.0,0.0,0.0,2315190.0,0.0,60791280.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,30000.0,0.0,186557.0,993573.0,0.0,351000.0,0.0
7.3,0.0,0.0,0.0,0.0,482350.0,0.0,0.0,1999027.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,11217993.0,4203540.0,0.0,0.0,0.0,0.0
7.4,0.0,0.0,0.0,0.0,0.0,477025.0,0.0,25000.0,0.0,0.0,0.0,0.0,9699.05,0.0,0.0,0.0,30092986.5,60000.0,2881309.0,0.0,133000.0,135025.0,0.0
7.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,12000.0,0.0,0.0,0.0,42539.0,0.0
7.6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,22000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3997497.0,1609974.77,0.0,0.0,2530.0,0.0
field,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,234283199.444,0.0
cross,3819933.0,0.0,105000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,400207.0,0.0,0.0,0.0,0.0,0.0,0.0,1727000.0,42850792.0,24675085.0,17386766.0,0.0,12803042.0
not_ai,99000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3100.0,0.0,468050.0,645235.0,3949843.0
unknown,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,19250.0,2250023.0
