grant_id,post_id,award_date,award_year,organization,title,amount_usd,focus_areas,funding_type,url
grants-3003-0,3003,2012-07-01,2012,United States Cochrane Center,General Support,100000.0,Other Areas,Grants,https://coefficientgiving.org/grants/us-cochrane-center-general-support/
grants-2991-0,2991,2012-08-01,2012,Population Services International,Containment of Artemisinin Resistance in Eastern Myanmar,1000000.0,GiveWell-Recommended Charities; Global Health & Wellbeing Opportunities,Grants,https://coefficientgiving.org/grants/containment-of-artemisinin-resistance-in-eastern-myanmar/
grants-2863-0,2863,2012-12-28,2012,Schistosomiasis Control Initiative,General Support,250000.0,GiveWell-Recommended Charities; Global Health & Development; Global Health & Wellbeing Opportunities,Grants,https://coefficientgiving.org/grants/schistosomiasis-control-initiative-general-support-2012/
grants-2865-0,2865,2012-12-28,2012,GiveDirectly,General Support,500000.0,GiveWell-Recommended Charities; Global Health & Development; Global Health & Wellbeing Opportunities,Grants,https://coefficientgiving.org/grants/givedirectly-general-support-december-2012/
grants-2873-0,2873,2012-12-28,2012,Against Malaria Foundation,General Support,1250000.0,GiveWell-Recommended Charities; Global Health & Development; Global Health & Wellbeing Opportunities,Grants,https://coefficientgiving.org/grants/against-malaria-foundation-general-support-december-2012/
grants-2995-0,2995,2013-07-01,2013,Center for Global Development,General Support,300000.0,Global Health & Development; Global Health & Wellbeing Opportunities; Other Global Health & Development,Grants,https://coefficientgiving.org/grants/center-for-global-development-general-support/
grants-2855-0,2855,2013-12-18,2013,Schistosomiasis Control Initiative,General Support,750000.0,GiveWell-Recommended Charities; Global Health & Development; Global Health & Wellbeing Opportunities,Grants,https://coefficientgiving.org/grants/schistosomiasis-control-initiative-general-support-2013/
grants-2857-0,2857,2013-12-18,2013,Evidence Action,Deworm the World Initiative,1500000.0,GiveWell-Recommended Charities; Global Health & Development; Global Health & Wellbeing Opportunities,Grants,https://coefficientgiving.org/grants/deworm-the-world-initiative-general-support-december-2013/
grants-2853-0,2853,2014-01-13,2014,GiveDirectly,General Support,7000000.0,GiveWell-Recommended Charities; Global Health & Development; Global Health & Wellbeing Opportunities,Grants,https://coefficientgiving.org/grants/givedirectly-general-support-january-2014/
grants-2738-0,2738,2014-01-17,2014,New Incentives,General Support,100000.0,GiveWell-Recommended Charities; Global Health & Wellbeing Opportunities,Grants,https://coefficientgiving.org/grants/new-incentives-general-support-2014/
grants-2989-0,2989,2014-03-01,2014,Center for Global Development,Labor Mobility Research,1184720.0,,Grants,https://coefficientgiving.org/grants/center-for-global-development-labor-mobility-research/
grants-2999-0,2999,2014-03-01,2014,International Development Association,Service Delivery Indicators Project,500000.0,GiveWell-Recommended Charities; Global Health & Wellbeing Opportunities,Grants,https://coefficientgiving.org/grants/service-delivery-indicators-project/
grants-2736-0,2736,2014-03-21,2014,Evidence Action,Planning for Future Programs,250000.0,GiveWell-Recommended Charities; Global Health & Wellbeing Opportunities,Grants,https://coefficientgiving.org/grants/evidence-action-planning-for-future-programs/
grants-2680-0,2680,2014-05-01,2014,GiveWell,"Top Charity ""Participation"" Grants",500000.0,GiveWell-Recommended Charities; Global Health & Development; Global Health & Wellbeing Opportunities,Grants,https://coefficientgiving.org/grants/givewell-top-charity-participation-grants-2014/
grants-2993-0,2993,2014-06-01,2014,Cochrane Collaboration,General Support,300000.0,Science and Global Health R&D,Grants,https://coefficientgiving.org/grants/cochrane-collaboration-general-support/
grants-3005-0,3005,2014-07-01,2014,U.S. Association for International Migration,Seasonal Migration from Haiti,1310483.0,,Grants,https://coefficientgiving.org/grants/usaim-seasonal-migration-from-haiti/
grants-3012-0,3012,2014-07-01,2014,ImmigrationWorks Foundation,General Support,285000.0,,Grants,https://coefficientgiving.org/grants/immigrationworks-foundation-general-support/
grants-3014-0,3014,2014-07-01,2014,Alliance for Open Society International,Albanian Renaissance,500000.0,Global Health & Development; Global Health & Wellbeing Opportunities; Other Areas; Other Global Health & Development,Grants,https://coefficientgiving.org/grants/alliance-for-open-society-international-albanian-renaissance/
grants-2693-0,2693,2014-09-01,2014,IDinsight,Scaling Up a High-Potential Development Intervention,34382.0,GiveWell-Recommended Charities; Global Health & Wellbeing Opportunities,Grants,https://coefficientgiving.org/grants/idinsight-scaling-up-a-high-potential-development-intervention/
grants-3017-0,3017,2014-09-01,2014,WaitList Zero,Planning Grant,50000.0,Global Health & Wellbeing Opportunities,Grants,https://coefficientgiving.org/grants/waitlist-zero-planning-grant/
grants-2851-0,2851,2014-12-09,2014,Schistosomiasis Control Initiative,General Support,3000000.0,GiveWell-Recommended Charities; Global Health & Development; Global Health & Wellbeing Opportunities,Grants,https://coefficientgiving.org/grants/schistosomiasis-control-initiative-general-support-2014/
grants-2837-0,2837,2014-12-10,2014,GiveDirectly,General Support,5000000.0,GiveWell-Recommended Charities; Global Health & Development; Global Health & Wellbeing Opportunities,Grants,https://coefficientgiving.org/grants/givedirectly-general-support-december-2014/
grants-2839-0,2839,2014-12-10,2014,Living Goods,General Support,250000.0,GiveWell-Recommended Charities; Global Health & Development; Global Health & Wellbeing Opportunities,Grants,https://coefficientgiving.org/grants/living-goods-general-support-december-2014/
grants-2841-0,2841,2014-12-10,2014,Against Malaria Foundation,General Support,5000000.0,GiveWell-Recommended Charities; Global Health & Development; Global Health & Wellbeing Opportunities,Grants,https://coefficientgiving.org/grants/against-malaria-foundation-general-support-december-2014/
grants-2843-0,2843,2014-12-10,2014,Development Media International,General Support,250000.0,GiveWell-Recommended Charities; Global Health & Development; Global Health & Wellbeing Opportunities,Grants,https://coefficientgiving.org/grants/development-media-international-general-support-december-2014/
grants-2845-0,2845,2014-12-10,2014,Iodine Global Network,General Support,250000.0,GiveWell-Recommended Charities; Global Health & Development; Global Health & Wellbeing Opportunities,Grants,https://coefficientgiving.org/grants/iodine-global-network-general-support-december-2014/
grants-2847-0,2847,2014-12-10,2014,Global Alliance for Improved Nutrition,General Support,250000.0,GiveWell-Recommended Charities; Global Health & Development; Global Health & Wellbeing Opportunities,Grants,https://coefficientgiving.org/grants/global-alliance-for-improved-nutrition-general-support-december-2014/
grants-2849-0,2849,2014-12-10,2014,Evidence Action,Deworm the World Initiative,250000.0,GiveWell-Recommended Charities; Global Health & Development; Global Health & Wellbeing Opportunities,Grants,https://coefficientgiving.org/grants/deworm-the-world-initiative-general-support-december-2014/
