round,source,organization,amount_usd,receiving_charity,purpose,note,year
2019,SFF,"80,000 Hours",40000.0,"Centre for Effective Altruism, USA","General Support of 80,000 Hours","$40,000",2019
2019,SFF,AI Impacts,70000.0,Machine Intelligence Research Institute,General Support of AI Impacts,"$70,000",2019
2019,SFF,"AAAI/ACM conference on AI, Ethics and Society (AIES 2020)",20000.0,Association for the Advancement of Artificial Intelligence,General Support of AIES,"$20,000",2019
2019,SFF,Alliance to Feed the Earth in Disasters (ALLFED),10000.0,Social and Environmental Entrepreneurs (SEE),General Support of ALLFED,"$10,000",2019
2019,SFF,Center For Applied Rationality,150000.0,Center For Applied Rationality,General Support,"$150,000",2019
2019,SFF,Charter Cities Institute,60000.0,Center for Innovative Governance Research,General Support of the Charter Cities Institute,"$60,000",2019
2019,SFF,"Centre for the Study of Existential Risk, University of Cambridge",50000.0,Cambridge in America,"General Support of Centre for the Study of Existential Risk, University of Cambridge","$50,000",2019
2019,SFF,Earth Law Center,30000.0,Earth Law Center,General Support,"$30,000",2019
2019,SFF,Global Catastrophic Risk Institute,30000.0,Social and Environmental Entrepreneurs,General Support of GCRI,"$30,000",2019
2019,SFF,Longevity Research Institute,160000.0,Longevity Research Institute,General Support,"$160,000",2019
2019,SFF,Median Group,50000.0,Median Group,General Support,"$50,000",2019
2019,SFF,Modeling Cooperation,50000.0,Convergence Analysis,General Support of Modeling Cooperation,"$50,000",2019
2019,SFF,OAK (Optimizing Awakening and Kindness),100000.0,Center for Mindful Learning,General Support of OAK (Optimizing Awakening and Kindness),"$100,000",2019
2019,SFF,Ought Inc.,100000.0,Ought Inc.,General Support,"$100,000",2019
2019,Jaan Tallinn,"80,000 Hours",70000.0,"Centre for Effective Altruism, USA","General Support of 80,000 Hours","$70,000",2019
2019,Jaan Tallinn,AI Impacts,30000.0,Machine Intelligence Research Institute,General Support of AI Impacts,"$30,000",2019
2019,Jaan Tallinn,"AAAI/ACM conference on AI, Ethics and Society (AIES 2020)",10000.0,Association for the Advancement of Artificial Intelligence,General Support of AIES,"$10,000",2019
2019,Jaan Tallinn,Alliance to Feed the Earth in Disasters (ALLFED),130000.0,Social and Environmental Entrepreneurs (SEE),General Support of ALLFED,"$130,000",2019
2019,Jaan Tallinn,APPG for Future Generations (supported through: Project on Longtermism in Policy Making LTD),80000.0,Centre for Effective Altruism (CEA),General Support of APPG for Future Generations,"$80,000",2019
2019,Jaan Tallinn,Center For Applied Rationality,50000.0,Center For Applied Rationality,General Support,"$50,000",2019
2019,Jaan Tallinn,"Centre for the Study of Existential Risk, University of Cambridge",20000.0,Cambridge in America,"General Support of Centre for the Study of Existential Risk, University of Cambridge","$20,000",2019
2019,Jaan Tallinn,"The Future Society, Inc.",50000.0,"The Future Society, Inc.",General Support,"$50,000",2019
2019,Jaan Tallinn,Longevity Research Institute,140000.0,Longevity Research Institute,General Support,"$140,000",2019
2019,Jaan Tallinn,Laboratory for Social Minds,20000.0,Carnegie Mellon University,General Support of Laboratory for Social Minds,"$20,000",2019
2019,Jaan Tallinn,Median Group,120000.0,Median Group,General Support,"$120,000",2019
2019,Jaan Tallinn,Ought Inc.,150000.0,Ought Inc.,General Support,"$150,000",2019
2019,Jaan Tallinn,Berkeley Rationality and Effective Altruism Community Hub Incorporated,50000.0,Berkeley Rationality and Effective Altruism Community Hub Incorporated,General Support,"$50,000",2019
2019,Jaan Tallinn,Topos Institute,150000.0,Topos Institute,General Support,"$150,000",2019
2019,Jaan Tallinn,Jason Crawford,20000.0,Mercatus Center,General Support of Jason Crawford,"$20,000",2019
2020/h1,SFF,LessWrong,290000.0,Center for Applied Rationality,General support of LessWrong,"$290,000",2020
2020/h1,SFF,Machine Intelligence Research Institute,20000.0,Machine Intelligence Research Institute,General support,"$20,000",2020
2020/h1,SFF,Quantified Uncertainty Research Institute,120000.0,Quantified Uncertainty Research Institute,General support,"$120,000",2020
2020/h1,SFF,"80,000 Hours",120000.0,Centre for Effective Altruism USA,"General support of 80,000 Hours","$120,000",2020
2020/h1,SFF,Future of Life Institute,100000.0,Future of Life Institute,General support,"$100,000",2020
2020/h1,Jaan Tallinn,LessWrong,110000.0,Center for Applied Rationality,General support of LessWrong,"$110,000",2020
2020/h1,Jaan Tallinn,Machine Intelligence Research Institute,280000.0,Machine Intelligence Research Institute,General support,"$280,000",2020
2020/h1,Jaan Tallinn,Quantified Uncertainty Research Institute,60000.0,Quantified Uncertainty Research Institute,General support,"$60,000",2020
2020/h1,Jaan Tallinn,"80,000 Hours",30000.0,Centre for Effective Altruism USA,"General support of 80,000 Hours","$30,000",2020
2020/h1,Jaan Tallinn,The Future Society,130000.0,"The Future Society, Inc.",General support of The Future Society,"$130,000",2020
2020/h1,Jaan Tallinn,Future of Life Institute,30000.0,Future of Life Institute,General support,"$30,000",2020
2020/h1,Jaan Tallinn,Global Catastrophic Risk Institute,90000.0,Social and Environmental Entrepreneurs,General support of Global Catastrophic Risk Institute,"$90,000",2020
2020/h1,Jaan Tallinn,Leverage Research,80000.0,Leverage Research,General support,"$80,000",2020
2020/h1,Jaan Tallinn,AI Impacts,40000.0,Machine Intelligence Research Institute,General support of AI Impacts,"$40,000",2020
2020/h1,Jaan Tallinn,Milan Griffes to pursue an MHS in Mental Health,30000.0,Johns Hopkins University,General support of Milan Griffes to pursue an MHS in Mental Health,"$30,000",2020
2020/h1,Jaan Tallinn,BERI/CSER Collaboration,20000.0,Berkeley Existential Risk Initiative,General support of BERI/CSER Collaboration,"$20,000",2020
2020/h1,Jaan Tallinn,Metamorphic Group LLC,10000.0,"Children, Families, and Communities",General support of Metamorphic Group LLC,"$10,000",2020
2020/h1,Jaan Tallinn,Convergence Analysis,10000.0,Convergence Analysis,General support,"$10,000",2020
2020/h1,Jed McCaleb,LessWrong,30000.0,Center for Applied Rationality,General support of LessWrong,"$30,000",2020
2020/h1,Jed McCaleb,Machine Intelligence Research Institute,40000.0,Machine Intelligence Research Institute,General support,"$40,000",2020
2020/h1,Jed McCaleb,Quantified Uncertainty Research Institute,20000.0,Quantified Uncertainty Research Institute,General support,"$20,000",2020
2020/h1,Jed McCaleb,"80,000 Hours",30000.0,Centre for Effective Altruism USA,"General support of 80,000 Hours","$30,000",2020
2020/h1,Jed McCaleb,The Future Society,30000.0,"The Future Society, Inc.",General support of The Future Society,"$30,000",2020
2020/h1,Jed McCaleb,Future of Life Institute,10000.0,Future of Life Institute,General support,"$10,000",2020
2020/h1,Jed McCaleb,Global Catastrophic Risk Institute,50000.0,Social and Environmental Entrepreneurs,General support of Global Catastrophic Risk Institute,"$50,000",2020
2020/h1,Jed McCaleb,AI Impacts,20000.0,Machine Intelligence Research Institute,General support of AI Impacts,"$20,000",2020
2020/h1,Jed McCaleb,Metamorphic Group LLC,10000.0,"Children, Families, and Communities",General support of Metamorphic Group LLC,"$10,000",2020
2020/h1,Jed McCaleb,Future of Humanity Foundation,10000.0,Future of Humanity Foundation,General support,"$10,000",2020
2020/h2,SFF,Future of Life Institute,23000.0,Future of Life Institute,General support,"$23,000",2020
2020/h2,SFF,Center for Applied Rationality,212000.0,Center for Applied Rationality,General support,"$212,000",2020
2020/h2,SFF,"Future of Humanity Institute, Research Scholars Programme",218000.0,University of Oxford,General support of the Research Scholars Programme at Future of Humanity Institute,"$218,000",2020
2020/h2,SFF,Center for Innovative Governance Research,58000.0,Center for Innovative Governance Research,General support,"$58,000",2020
2020/h2,SFF,The Center for Election Science,44000.0,The Center for Election Science,General support,"$44,000",2020
2020/h2,SFF,"The Future Society, Inc.",37000.0,"The Future Society, Inc.",General support,"$37,000",2020
2020/h2,SFF,Generation Pledge,37000.0,Centre for Effective Altruism,General support of Generation Pledge at the Centre for Effective Altruism,"$37,000",2020
2020/h2,SFF,Center for Applied Utilitarianism,21000.0,Centre for Effective Altruism,General support of Center for Applied Utilitarianism,"$21,000",2020
2020/h2,Jed McCaleb,Topos Institute,144000.0,Topos Institute,Conditional support,"$144,000",2020
2020/h2,Jed McCaleb,Center for Applied Rationality,23000.0,Center for Applied Rationality,General support,"$23,000",2020
2020/h2,Jed McCaleb,Stanford Existential Risks Initiative,56000.0,Stanford University,General support of Stanford Existential Risks Initiative,"$56,000",2020
2020/h2,Jed McCaleb,RadicalxChange Foundation Ltd.,13000.0,RadicalxChange Foundation Ltd.,General support,"$13,000",2020
2020/h2,Jed McCaleb,The Roots of Progress,14000.0,Mercatus Center Inc,General support of The Roots of Progress,"$14,000",2020
2020/h2,Jaan Tallinn,Center for Human-Compatible AI,779000.0,UC Berkeley Foundation,General support of Center for Human-Compatible AI,"$779,000",2020
2020/h2,Jaan Tallinn,Machine Intelligence Research Institute,543000.0,Machine Intelligence Research Institute,General support,"$543,000",2020
2020/h2,Jaan Tallinn,Future of Life Institute,347000.0,Future of Life Institute,General support,"$347,000",2020
2020/h2,Jaan Tallinn,Topos Institute,151000.0,Topos Institute,Conditional support,"$151,000",2020
2020/h2,Jaan Tallinn,Center for Applied Rationality,19000.0,Center for Applied Rationality,General support,"$19,000",2020
2020/h2,Jaan Tallinn,Future of Humanity Institute: Research Scholars Programme,30000.0,University of Oxford,General support of the Research Scholars Programme at Future of Humanity Institute,"$30,000",2020
2020/h2,Jaan Tallinn,Berkeley Existential Risk Initiative,247000.0,Berkeley Existential Risk Initiative,General support,"$247,000",2020
2020/h2,Jaan Tallinn,Global Catastrophic Risk Institute,209000.0,Social and Environmental Entrepreneurs,General support of Global Catastrophic Risk Institute,"$209,000",2020
2020/h2,Jaan Tallinn,Stanford Existential Risks Initiative,69000.0,Stanford University,General support of Stanford Existential Risks Initiative,"$69,000",2020
2020/h2,Jaan Tallinn,Median Group,98000.0,Median Foundation,General support of Median Group,"$98,000",2020
2020/h2,Jaan Tallinn,Modeling Cooperation,74000.0,Convergence Analysis,General support of Modeling Cooperation,"$74,000",2020
2020/h2,Jaan Tallinn,Rethink Priorities,57000.0,Rethink Priorities,General support,"$57,000",2020
2020/h2,Jaan Tallinn,RadicalxChange Foundation Ltd.,26000.0,RadicalxChange Foundation Ltd.,General support,"$26,000",2020
2020/h2,Jaan Tallinn,The Roots of Progress,21000.0,Mercatus Center Inc,General support of The Roots of Progress,"$21,000",2020
2020/h2,Jaan Tallinn,"AAAI/ACM Conference on Artificial Intelligence, Ethics and Society",20000.0,Association for the Advancement of Artificial Intelligence,General support of AAAI/ACM Conference on Artificial Intelligence,"$20,000",2020
2020/h2,Jaan Tallinn,Effective Thesis,15000.0,N/A,General Support,"$15,000",2020
2021/h1,Jaan Tallinn,Center For Applied Rationality,1207000.0,Center For Applied Rationality,General Support,"$1,207,000",2021
2021/h1,Jaan Tallinn,LessWrong,1055000.0,Center For Applied Rationality,General support of LessWrong,"$1,055,000",2021
2021/h1,Jaan Tallinn,Alpenglow Group Limited,1013000.0,The Centre for Effective Altruism,General support of Alpenglow Group Limited,"$1,013,000",2021
2021/h1,Jaan Tallinn,David Krueger’s Research Group at Cambridge,1000000.0,Cambridge in America,General support of David Krueger’s Research Group,"$1,000,000",2021
2021/h1,Jaan Tallinn,"Dr. Andrew Critch at CHAI, UC Berkeley",898000.0,UC Berkeley Foundation,"General support of Dr. Andrew Critch at CHAI, UC Berkeley","$898,000",2021
2021/h1,Jaan Tallinn,Long-Term Future Fund,675000.0,Centre for Effective Altruism,General support of Long-Term Future Fund,"$675,000",2021
