Action ID,Action Name,Action Definition,Action Source,MitigationCode
A0086_Future of Life Institute2024,AI Safety Team,"Does your organization have a safety team? If yes, please provide the team name, a URL to the team’s website (if applicable), the team size (defined as FTE technical staff), and briefly describe its mission.",Future of Life Institute2024,1.1 Board Structure & Oversight
A0089_Future of Life Institute2024,Board of directors,Information about board independence; any non-standard safety-related powers; whether it has a mandate to prioritize safety over profits.,Future of Life Institute2024,1.1 Board Structure & Oversight
A0091_Future of Life Institute2024,BOD formal risk committee,"Does the board of directors feature a formal risk committee that is tasked with overseeing the firm’s risk management practices? If yes, please name the members of this committee.",Future of Life Institute2024,1.1 Board Structure & Oversight
A0092_Future of Life Institute2024,BOD regular crisis training,Does the BOD engage in regular crisis response training?,Future of Life Institute2024,1.1 Board Structure & Oversight
A0096_Future of Life Institute2024,Chief Information Security Officer (CISO),Does your firm's leadership team feature a chief information security officer (CISO)?,Future of Life Institute2024,1.1 Board Structure & Oversight
A0099_Future of Life Institute2024,Company structure,Information that indicates whether the structure of the firm would allow it to prioritize safety in critical situations or whether shareholder pressure could drive it to deploy capable but dangerous systems.,Future of Life Institute2024,1.1 Board Structure & Oversight
A0123_Future of Life Institute2024,Internal review of high-stakes deployment decisions,Does your company have one or more internal bodies that review deployment decisions related to highly capable AI models? This might be an ethics board or other body with a responsibility/safety related mandate.,Future of Life Institute2024,1.1 Board Structure & Oversight
A0129_Future of Life Institute2024,Multi-party authorisation for LLM deployment system changes,Does your organization require multi-party authorization for all changes to systems directly involved in the deployment of large models?,Future of Life Institute2024,1.1 Board Structure & Oversight
A0133_Future of Life Institute2024,Partnerships,Any partnerships that can significantly shape company strategy.,Future of Life Institute2024,1.1 Board Structure & Oversight
A0136_Future of Life Institute2024,Powers of the BOD,"Does the board have powers beyond appointing a new CEO (e.g., is it able to veto large deployment decisions?) ",Future of Life Institute2024,1.1 Board Structure & Oversight
A0164_Future of Life Institute2024,Chief Risk Officer (CRO),,Future of Life Institute2024,1.1 Board Structure & Oversight
A0176_Schuett2023,Board risk committee,"AGI labs should have a board risk committee, i.e. a permanent committee within the board of directors which oversees the lab’s risk management practices.*",Schuett2023,1.1 Board Structure & Oversight
A0179_Schuett2023,Dual control,"Critical decisions in model development and deployment should be made by at least two people (e.g. promotion to production, changes to training datasets, or modifications to production).*",Schuett2023,1.1 Board Structure & Oversight
A0217_Schuett2023,Chief risk officer,"AGI labs should have a chief risk officer (CRO), i.e. a senior executive who is responsible for risk management.",Schuett2023,1.1 Board Structure & Oversight
A0275_EU AI Office2025,Systemic Risk Responsibility Allocation,"Signatories commit to (1) clearly defining and allocating responsibilities for managing systemic risk from their GPAISRs across all levels of the organisation; (2) allocating appropriate resources to actors who have been assigned responsibilities for managing systemic risk; and (3) promoting a healthy risk culture.
",EU AI Office2025,1.1 Board Structure & Oversight
A0286_Campos2025,Decision-Making Executives,"Best practices from other industries include the establishment of clear risk ownership, with designated senior managers responsible for specific risks…",Campos2025,1.1 Board Structure & Oversight
A0334_Campos2025,Appoint Chief Risk Officer,"There should be a senior executive responsible for risk management processes (often called a Chief Risk Officer) who is accountable for the risk management processes, but is importantly not a risk owner making risk decisions themselves.",Campos2025,1.1 Board Structure & Oversight
A0338_Campos2025,Board Level Oversight,"Board-level oversight is necessary to provide checks and balances to senior management.
",Campos2025,1.1 Board Structure & Oversight
A0414_NIST2024,Organizational Role Adjustment,"Consider adjustment of organizational roles and components across lifecycle stages of large or complex GAI systems, including: Test and evaluation, validation, and red-teaming of GAI systems; GAI content moderation; GAI system development and engineering; Increased accessibility of GAI tools, interfaces, and systems, Incident response and containment.",NIST2024,1.1 Board Structure & Oversight
A0420_NIST2024,Lifecycle Oversight Functions,"Establish policies, procedures, and processes for oversight functions (e.g., senior leadership, legal, compliance, including internal evaluation) across the GAI lifecycle, from problem formulation and supply chains to system decommission.",NIST2024,1.1 Board Structure & Oversight
A0448_NIST2024,Interdisciplinary Team Formation,"Establish and empower interdisciplinary teams that reflect a wide range of capabilities, competencies, demographic groups, domain expertise, educational backgrounds, lived experiences, professions, and skills across the enterprise to inform and conduct risk measurement and management functions.",NIST2024,1.1 Board Structure & Oversight
A0460_NIST2024,Transparency Training Adaptation,Adapt existing training programs to include modules on digital content transparency,NIST2024,1.1 Board Structure & Oversight
A0461_NIST2024,Risk Management Certification,"Develop certification programs that test proficiency in managing GAI risks and interpreting content provenance, relevant to specific industry and context.",NIST2024,1.1 Board Structure & Oversight
A0642_Barrett2024,Executive Risk Accountability,"Executive leadership
of the organization
takes responsibility for
decisions about risks
associated with AI sys-
tem development and
deployment.",Barrett2024,1.1 Board Structure & Oversight
A0644_Barrett2024, Human-AI Oversight Roles,"Policies and procedures
are in place to define
and differentiate roles
and responsibilities for
human-AI configurations
and oversight of AI
systems.",Barrett2024,1.1 Board Structure & Oversight
A0665_Barrett2024,Define Human Oversight Protocols,"Processes for
human oversight are
defined, assessed,
and documented
in accordance with
organizational policies
from the Govern
function",Barrett2024,1.1 Board Structure & Oversight
A0748_NIST2024,Information Integrity; Value Chain and Component Integration,"Leverage feedback and recommendations from organizational boards or
committees related to the deployment of GAI applications and content
provenance when using third-party pre-trained models.",NIST2024,1.1 Board Structure & Oversight
A0783_UK Government2023,Robust and Meaningful Accountability Mechanisms ,"Introduce robust and meaningful accountability mechanisms, especially in evaluating capabilities thresholds, with clear processes that ensure the correct mitigations or courses of action are followed if the thresholds are met. This may include board sign-off for the responsible capability scaling policy, and named individual accountability for key decisions.",UK Government2023,1.1 Board Structure & Oversight
A0827_UK Government2023,Training Relevant Actors in AI Security,"Train developers, system owners and senior leaders in secure AI practices. It is crucial to establish a positive security culture where leaders demonstrate good security practice and staff from across a project understand enough about AI security to understand the potential consequences of decisions they take.",UK Government2023,1.1 Board Structure & Oversight
A0847_UK Government2023,Board-level Responsibility for Protective Security ,Ensure board-level responsibility for protective security with regular engagement with key stakeholders from across the business and a firm understanding of the risks the organisation faces. Ensure stakeholder engagement throughout the business for specialist insight and development and implementation of an insider risk mitigation programme. ,UK Government2023,1.1 Board Structure & Oversight
A0850_UK Government2023,Proportionate Policies ,"Put in place proportionate policies, clear reporting procedures and escalation guidelines that are accessible, understood and consistently enforced.",UK Government2023,1.1 Board Structure & Oversight
A0851_UK Government2023,Appropriate Security Training,Provide appropriate security education and training for all workers. Without effective education and training individuals cannot be expected to know what procedures are in place to maintain security.,UK Government2023,1.1 Board Structure & Oversight
A0852_UK Government2023,Program of Monitoring for Security Issues,"Ensure that a programme of monitoring and review is in place to enable potential security issues, or personal issues that may impact on an employee's work, to be recognised and dealt with effectively throughout their career",UK Government2023,1.1 Board Structure & Oversight
A0906_UK Government2023,Governance Responses to Worst-case of Misuse Scenarios,"Establish governance processes to ensure internal clarity in response to worst-case or consistent misuse scenarios. Such processes could draw on similar accountability and governance mechanisms used within a Responsible Capability Scaling policy. It may be valuable to clarify the approvals needed to roll back a model to a previous version or withdraw a model, the types of misuse that would warrant such actions, and the timeframe under which such actions would occur.",UK Government2023,1.1 Board Structure & Oversight
A1034_Uuk2024,Risk-focused governance structures,"Companies adopt practices typical of high-reliability organizations (HROs), including board risk committees, chief risk officers, multi-party authorization requirements, ethics boards for reviewing development and deployment decisions, and internal audit teams that report directly to the board, tasked with auditing risk management practices.",Uuk2024,1.1 Board Structure & Oversight
A0003_Bengio2025,Bowtie Method,"A technique for visualising risk quantitatively and qualitatively, providing clear differentiation between proactive and reactive risk management, intended to help prevent and mitigate major accident hazards.

Oil companies and national governments use the bowtie method. ",Bengio2025,1.2 Risk Management
A0004_Bengio2025,Defence in Depth,"The idea that multiple independent and overlapping layers of defence can be implemented such that if one fails, others will still be effective.

An example comes from the field of infectious diseases, where multiple preventative measures (e.g. vaccines, masks, hand washing) can layer to reduce overall risk. ",Bengio2025,1.2 Risk Management
A0012_Bengio2025,Risk management frameworks,"Whole organisation frameworks to reduce gaps in risk coverage and ensure various risk activities (i.e. all of the above) are cohesively structured and aligned, risk roles and responsibilities are clearly defined, and checks and balances are in place to avoid silos and manage conflicts of interest.

In other safety critical industries, the Three Lines of Defence framework – separating risk ownership, oversight and audit – is widely used and can be usefully applied to advanced AI companies",Bengio2025,1.2 Risk Management
A0013_Bengio2025,Risk Register,"A risk management tool that serves as a repository of all risks, their prioritisation, owners, and mitigation plans. They are sometimes used to fulfil regulatory compliance.

Risk registers are a relatively standard tool used across many industries, including cybersecurity and recently AI. ",Bengio2025,1.2 Risk Management
A0014_Bengio2025,Risk Taxonomy,"A way to categorise and organise risks across multiple dimensions.

There are several well- known risk taxonomies for AI. ",Bengio2025,1.2 Risk Management
A0016_Bengio2025,Risk Tolerance,"The level of risk an organisation is willing to take on.

 In AI, risks tolerances are often left up to AI companies, but regulatory regimes can help identify unacceptable risks that are legally prohibited",Bengio2025,1.2 Risk Management
A0020_Bengio2025,Scenario Analysis,Developing plausible future scenarios and analysing how risks materialise. Scenario analysis and planning are widely used across industries including for the energy sector and to address uncertainties of power systems. ,Bengio2025,1.2 Risk Management
A0021_Bengio2025,Threat Modelling,A process to identify threats and vulnerabilities to a system. Threat modelling is commonly used to support AI security throughout AI research and development,Bengio2025,1.2 Risk Management
A0023_Bengio2025,Delphi Method,"A group decision-making technique that uses a series of questionnaires to gather consensus from a panel of experts.

The Delphi method has been used to help identify key AI risks. ",Bengio2025,1.2 Risk Management
A0025_Bengio2025,Risk Matrices,"A visual tool that helps prioritise risks according to their likelihood of occurrence and potential impact.

Risk matrices are used in many industries and for many purposes, such as by financial institutions for evaluating credit risk, or by companies to assess possible disruptions to their supply chains",Bengio2025,1.2 Risk Management
